,state,type,m²,posted_by,city,price_eur
1025,used,4 bedroom,80.0,agency,Sarajevo - Novi Grad,194310.0
1026,used,2 bedroom,64.52,agency,Bijeljina,82263.0
1027,used,1.5 bedroom,40.35,agency,Bijeljina,52479.0
1028,used,1 bedroom,36.08,agency,Bijeljina,46920.0
1029,used,1 bedroom,37.47,agency,Bijeljina,48730.0
1030,used,2 bedroom,55.47,agency,Bijeljina,70737.0
1031,used,3 bedroom,77.0,agency,Sarajevo - Novi Grad,163200.0
1032,used,3 bedroom,68.0,agency,Sarajevo - Centar,150450.0
1033,used,2 bedroom,60.0,agency,Sarajevo - Centar,152490.0
1034,used,3 bedroom,92.0,agency,Sarajevo - Stari Grad,269790.0
1035,used,3 bedroom,55.0,agency,Ilidža,153573.0
1036,used,4 bedroom,70.0,agency,Sarajevo - Centar,183090.0
1037,used,2 bedroom,54.0,agency,Sarajevo - Novi Grad,101490.0
1038,used,3 bedroom,79.0,agency,Sarajevo - Novi Grad,193290.0
1039,used,3 bedroom,56.0,agency,Sarajevo - Novo Sarajevo,126990.0
1040,used,3 bedroom,66.0,agency,Sarajevo - Novo Sarajevo,214200.0
1041,used,4 bedroom,126.0,agency,Sarajevo - Centar,285600.0
1042,used,1.5 bedroom,45.0,agency,Ilidža,105060.0
1043,used,3 bedroom,60.0,agency,Pale,158100.0
1044,used,2 bedroom,36.0,agency,Sarajevo - Centar,86700.0
1045,used,2 bedroom,48.0,agency,Sarajevo - Novo Sarajevo,94605.0
1046,used,4 bedroom,103.0,agency,Vogošća,178500.0
1047,used,3 bedroom,89.0,agency,Ilidža,244800.0
1048,used,2 bedroom,39.0,agency,Istočno Sarajevo,89505.0
1049,used,3 bedroom,64.0,agency,Sarajevo - Stari Grad,183600.0
1050,used,3 bedroom,77.0,agency,Ilidža,153000.0
1051,used,2 bedroom,40.0,agency,Vogošća,76245.0
1052,used,3 bedroom,66.0,agency,Vogošća,152490.0
1053,used,3 bedroom,73.0,agency,Sarajevo - Novo Sarajevo,135150.0
1054,used,4 bedroom,122.0,agency,Sarajevo - Centar,320433.0
1055,used,3 bedroom,68.0,agency,Sarajevo - Novo Sarajevo,144585.0
1056,used,2 bedroom,39.0,agency,Sarajevo - Novi Grad,107100.0
1057,used,4 bedroom,87.0,agency,Vogošća,128673.0
1058,used,3 bedroom,60.0,agency,Sarajevo - Centar,254490.0
1059,used,4 bedroom,101.0,agency,Sarajevo - Centar,360570.0
1060,used,1 bedroom,34.0,agency,Ilidža,89250.0
1061,used,4 bedroom,136.0,agency,Sarajevo - Centar,306000.0
1062,used,3 bedroom,66.0,agency,Sarajevo - Centar,209100.0
1063,used,4 bedroom,113.0,agency,Sarajevo - Centar,255000.0
1064,used,3 bedroom,72.0,agency,Istočno Sarajevo,115770.0
1065,used,3 bedroom,85.0,agency,Sarajevo - Stari Grad,316200.0
1066,used,3 bedroom,137.0,agency,Sarajevo - Centar,382500.0
1067,used,3 bedroom,71.0,agency,Ilidža,149940.0
1068,used,3 bedroom,69.0,agency,Vogošća,137700.0
1069,used,2 bedroom,53.0,agency,Sarajevo - Novi Grad,137700.0
1070,new,5+ bedroom,144.0,agency,Sarajevo - Novo Sarajevo,348942.0
1071,used,3 bedroom,97.0,agency,Sarajevo - Centar,346800.0
1072,used,3 bedroom,77.0,agency,Sarajevo - Novi Grad,155550.0
1073,used,4 bedroom,107.0,agency,Sarajevo - Novo Sarajevo,395250.0
1074,used,3 bedroom,74.0,agency,Banja Luka,122400.0
1075,used,3 bedroom,83.0,agency,Banja Luka,247350.0
1076,used,4 bedroom,106.0,agency,Banja Luka,163200.0
1077,used,2 bedroom,74.0,agency,Brčko,77367.0
1078,used,1 bedroom,37.46,agency,Bijeljina,48730.0
1079,used,3 bedroom,86.0,individual,Tuzla,153000.0
1080,used,2 bedroom,56.0,agency,Sarajevo - Novo Sarajevo,160650.0
1081,used,4 bedroom,90.0,agency,Sarajevo - Novo Sarajevo,181050.0
1082,used,studio,17.0,agency,Sarajevo - Centar,86700.0
1083,used,3 bedroom,115.0,agency,Sarajevo - Stari Grad,351900.0
1084,used,3 bedroom,72.0,agency,Vogošća,127500.0
1085,used,3 bedroom,65.0,agency,Sarajevo - Novi Grad,119850.0
1086,used,3 bedroom,57.0,agency,Vogošća,104550.0
1087,not listed,3 bedroom,65.0,agency,Gradiška,68850.0
1088,used,2 bedroom,80.0,agency,Mostar,84150.0
1089,used,5+ bedroom,119.0,agency,Sarajevo - Centar,331500.0
1090,used,3 bedroom,62.0,agency,Sarajevo - Centar,158100.0
1091,new,3 bedroom,63.0,agency,Banja Luka,113597.0
1092,not listed,2 bedroom,53.0,individual,Sarajevo - Novi Grad,142800.0
1093,not listed,3 bedroom,79.0,individual,Sarajevo - Novi Grad,163200.0
1094,not listed,3 bedroom,51.6,individual,Zenica,114750.0
1095,not listed,1.5 bedroom,34.0,individual,Sarajevo - Novo Sarajevo,96900.0
1096,new,2 bedroom,55.0,individual,Doboj,66300.0
1097,used,3 bedroom,65.0,agency,Sarajevo - Novi Grad,142800.0
1098,used,3 bedroom,79.0,agency,Sarajevo - Centar,201450.0
1099,used,3 bedroom,57.0,agency,Sarajevo - Stari Grad,280500.0
1100,new,2 bedroom,42.0,agency,Banja Luka,78687.0
1101,used,2 bedroom,51.0,individual,Vareš,40290.0
1102,used,3 bedroom,89.0,agency,Banja Luka,172482.0
1103,used,3 bedroom,64.0,agency,Čelinac,78540.0
1104,not listed,3 bedroom,64.64,agency,Čelinac,79050.0
1105,used,4 bedroom,98.0,agency,Banja Luka,147390.0
1106,used,2 bedroom,47.0,agency,Čelinac,57528.0
1107,used,4 bedroom,115.0,agency,Banja Luka,226950.0
1108,used,2 bedroom,43.0,agency,Banja Luka,87924.0
1109,used,4 bedroom,77.0,agency,Banja Luka,133518.0
1110,used,3 bedroom,81.0,agency,Banja Luka,144840.0
1111,used,3 bedroom,64.0,agency,Čelinac,78336.0
1112,used,1 bedroom,41.0,agency,Sarajevo - Novo Sarajevo,140250.0
1113,used,4 bedroom,92.0,individual,Banja Luka,140250.0
1114,not listed,2 bedroom,42.0,individual,Istočno Sarajevo,72930.0
1115,used,2 bedroom,92.0,agency,Mostar,191250.0
1116,used,4 bedroom,99.68,agency,Tuzla,168300.0
1117,used,2 bedroom,69.0,agency,Banja Luka,142800.0
1118,used,2 bedroom,61.0,agency,Mostar,96390.0
1119,not listed,2 bedroom,80.0,agency,Čapljina,81090.0
1120,not listed,studio,29.0,individual,Sarajevo - Novi Grad,66300.0
1121,used,1.5 bedroom,34.0,individual,Sarajevo - Novo Sarajevo,96900.0
